,Street_One,Street_Two,latitude,longitude
0,MISSION ST,ITALY AVE,37.7184751,-122.4395315
1,MISSION ST,NEW MONTGOMERY ST,37.7874621,-122.4005256
2,MISSION ST,01ST ST,37.7897824,-122.3975873
3,MISSION ST,20TH ST,37.7586477,-122.4190809
4,MISSION ST,FREMONT ST,37.79047449999999,-122.3967207
5,MISSION ST,13TH ST,37.7701511,-122.4199409
6,MISSION ST,ERIE ST,37.7690596,-122.4200642
7,MISSION ST,BEALE ST,37.7911461,-122.3958402
8,MISSION ST,FAIR AVE,37.7456106,-122.4199035
9,MISSION ST,SAINT MARYS AVE,37.7339658,-122.4261373
10,MISSION ST,SENECA AVE,37.717685,-122.4401299
11,MISSION ST,ANTHONY ST,37.7883746,-122.3993855
12,MISSION ST,JESSIE EAST ST,37.7840118,-122.4048917
13,MISSION ST,SILVER AVE,37.728739,-122.4313258
14,MISSION ST,MOUNT VERNON AVE,37.7145839,-122.4426891
15,MISSION ST,30TH ST,37.7423866,-122.4219839
16,MISSION ST,MAIN ST,37.7918501,-122.3949528
17,MISSION ST,TRUMBULL ST,37.7308875,-122.4292524
18,MISSION ST,15TH ST,37.7666857,-122.4198518
19,MISSION ST,KINGSTON ST,37.7417495,-122.4223963
20,MISSION ST,TINGLEY ST,37.7282409,-122.431817
21,MISSION ST,THERESA ST,37.7277272,-122.4323871
22,MISSION ST,PARK ST,37.7367482,-122.4242516
23,MISSION ST,OLIVER ST,37.7095543,-122.4505264
24,MISSION ST,STEUART ST,37.7932356,-122.3932117
25,MISSION ST,HURON AVE,37.7082933,-122.4542146
26,MISSION ST,SYCAMORE ST,37.7627205,-122.4194767
27,MISSION ST,02ND ST,37.7880189,-122.3998164
28,MISSION ST,MINT ST,37.7822203,-122.4071713
29,MISSION ST,GENEVA AVE,37.7165046,-122.4410221
30,MISSION ST,CORTLAND AVE,37.7410372,-122.4228552
31,MISSION ST,22ND ST,37.7554495,-122.4187697
32,MISSION ST,06TH ST,37.7809781,-122.4087232
33,MISSION ST,PRECITA AVE,37.7467895,-122.4191383
34,MISSION ST,17TH ST,37.7634426,-122.4195469
35,MISSION ST,CASTLE MANOR AVE,37.7292391,-122.4308351
36,MISSION ST,ALLISON ST,37.7145839,-122.4426891
37,MISSION ST,26TH ST,37.7490541,-122.418162
38,MISSION ST,VIRGINIA AVE,37.7431395,-122.4214986
39,MISSION ST,COTTER ST,37.7271898,-122.4329367
40,MISSION ST,WHIPPLE AVE,37.7107553,-122.4477003
41,MISSION ST,08TH ST,37.77744939999999,-122.413188
42,MISSION ST,PLUM ST,37.7710231,-122.4196737
43,MISSION ST,THE EMBARCADERO,37.793711,-122.3926229
44,MISSION ST,19TH ST,37.7602441,-122.4192359
45,MISSION ST,APPLETON AVE,37.73884779999999,-122.4239465
46,MISSION ST,OCEAN AVE,37.723903,-122.4354019
47,MISSION ST,GODEUS ST,37.7428332,-122.4216961
48,MISSION ST,POPE ST,37.7154539,-122.4418238
49,MISSION ST,FARRAGUT AVE,37.70995750000001,-122.4493491
50,MISSION ST,11TH ST,37.7743338,-122.417127
51,MISSION ST,EUGENIA AVE,37.7422171,-122.4220931
52,MISSION ST,04TH ST,37.7844735,-122.4042211
53,MISSION ST,FRANCE AVE,37.7200297,-122.4383555
54,MISSION ST,LASKIE ST,37.776717,-122.4141295
55,MISSION ST,29TH ST,37.7440455,-122.4209007
56,MISSION ST,RUSSIA AVE,37.7215839,-122.4371793
57,MISSION ST,ONONDAGA AVE,37.7211599,-122.4375007
58,MISSION ST,ANNIE ST,37.7868645,-122.401295
59,MISSION ST,21ST ST,37.7570482,-122.4189254
60,MISSION ST,CLARION ALY,37.7630605,-122.4195099
61,MISSION ST,NAGLEE AVE,37.7116033,-122.4461154
62,MISSION ST,ADMIRAL AVE,37.7298863,-122.4302392
63,MISSION ST,RICHLAND AVE,37.7359509,-122.4245244
64,MISSION ST,LOWELL ST,37.7114485,-122.4464094
65,MISSION ST,SAN JUAN AVE,37.72401680000001,-122.435337
66,MISSION ST,14TH ST,37.7682866,-122.4199985
67,MISSION ST,CONCORD ST,37.71394,-122.4433763
68,MISSION ST,HIGHLAND AVE,37.7373778,-122.4240718
69,MISSION ST,10TH ST,37.7752827,-122.415935
70,MISSION ST,LAWRENCE AVE,37.7094235,-122.4509083
71,MISSION ST,AMAZON AVE,37.71726,-122.4404515
72,MISSION ST,ECKER ST,37.7891878,-122.3983321
73,MISSION ST,SHAW ALY,37.7889894,-122.3985895
74,MISSION ST,AVALON AVE,37.7276501,-122.4324776
75,MISSION ST,FRANCIS ST,37.7266029,-122.4333843
76,MISSION ST,LAFAYETTE ST,37.7735078,-122.4180824
77,MISSION ST,JESSIE WEST ST,37.783094,-122.406035
78,MISSION ST,COLLEGE AVE,37.7353015,-122.4247948
79,MISSION ST,03RD ST,37.78627420000001,-122.4020623
80,MISSION ST,HARRINGTON ST,37.7251885,-122.43446
81,MISSION ST,COLLEGE TER,37.7342941,-122.4258153
82,MISSION ST,VALENCIA ST,37.7456106,-122.4199035
83,MISSION ST,NEY ST,37.7300119,-122.4301163
84,MISSION ST,12TH ST,37.7717406,-122.4169358
85,MISSION ST,25TH ST,37.7506467,-122.4183174
86,MISSION ST,MARY ST,37.7821305,-122.4072789
87,MISSION ST,SPEAR ST,37.79254,-122.3941036
88,MISSION ST,ROLPH ST,37.7157688,-122.4415849
89,MISSION ST,07TH ST,37.7792231,-122.4109572
90,MISSION ST,NORTON ST,37.7245957,-122.4349013
91,MISSION ST,RUTH ST,37.7230456,-122.436073
92,MISSION ST,BRAZIL AVE,37.7246953,-122.4348313
93,MISSION ST,GUTTENBERG ST,37.7127934,-122.4446026
94,MISSION ST,23RD ST,37.7538468,-122.4186137
95,MISSION ST,RANDALL ST,37.73980299999999,-122.4236763
96,MISSION ST,PERSIA AVE,37.7231462,-122.4359969
97,MISSION ST,16TH ST,37.7650648,-122.4197036
98,MISSION ST,YERBA BUENA LN,37.7851431,-122.4035119
99,MISSION ST,LAURA ST,37.7096926,-122.4501257
100,MISSION ST,18TH ST,37.7618414,-122.4193913
101,MISSION ST,LEO ST,37.7224754,-122.4365047
102,MISSION ST,POWERS AVE,37.7461887,-122.4195282
103,MISSION ST,SANTA ROSA AVE,37.7257796,-122.4340055
104,MISSION ST,FLORENTINE AVE,37.7133832,-122.4439712
105,MISSION ST,FOOTE AVE,37.7126302,-122.444772
106,MISSION ST,BOSWORTH ST,37.7336884,-122.4264161
107,MISSION ST,EXCELSIOR AVE,37.7262514,-122.4336486
108,MISSION ST,WASHBURN ST,37.77589990000001,-122.4151618
109,MISSION ST,MORSE ST,37.7104082,-122.4483399
110,MISSION ST,ANGELOS ALY,37.7781278,-122.4123234
111,MISSION ST,BROOK ST,37.7406528,-122.4231031
112,MISSION ST,09TH ST,37.7762399,-122.4147391
113,MISSION ST,OTTAWA AVE,37.7135985,-122.4437394
114,MISSION ST,NIAGARA AVE,37.7155856,-122.4417246
115,MISSION ST,ACTON ST,37.7088076,-122.4527067
116,MISSION ST,05TH ST,37.78273069999999,-122.4065086
117,MISSION ST,24TH ST,37.7522476,-122.4184582
118,MISSION ST,GRACE ST,37.7756147,-122.4155183
